PUBLISHER,TITLE,PRICE
ABRAMS FANFARE,A Mighty Marvel Team-Up Volume 5 Iron Man Super Smash HC,$12.99
ABRAMS FANFARE,BUUZA Volume 1 Good Morning Salwa HC,$26.99
AIRSHIP,Easygoing Territory Defense By The Optimistic Lord Production Magic Turns A Nameless Village Into The Strongest Fortified City Light Novel Volume 7 SC,$15.99
AIRSHIP,Reborn As A Space Mercenary I Woke Up Piloting The Strongest Starship Light Novel Volume 15 SC,$15.99
AIRSHIP,Sword Of The Demon Hunter Kijin Gentosho Light Novel Volume 13 SC,$15.99
ANTARCTIC PRESS,Cryptid Corps #1 (Of 6) Cover A Max Bertolini),$4.99
ANTARCTIC PRESS,Cryptid Corps #1 (Of 6) Cover B Erwin J. Arroza),$9.99
ANTARCTIC PRESS,Ninja High School #202 (Cover A Ben Dunn),$4.99
ANTARCTIC PRESS,Pounds Of Power #2 (Of 4),$4.99
ARCHIE COMICS PUBLICATIONS,Archie's TV Laugh Out #79 Facsimile Edition (Cover A Stan Goldberg),$4.99
ARCHIE COMICS PUBLICATIONS,Archie's TV Laugh Out #79 Facsimile Edition (Cover B Stan Goldberg Jaws Parody Movie Poster Variant),$4.99
ARCHIE COMICS PUBLICATIONS,Archie's TV Laugh Out #79 Facsimile Edition (Cover C Dan Parent & Rosario Tito Pena Veronica Movie Poster Foil Variant),$7.99
AWA STUDIOS,Protopias Collection TP,$24.99
BAD IDEA,Hab #1 (Of 5)(2nd Printing Cover A Charlie Adlard),$5.99
BAD IDEA,Hab #2 (Of 5)(Cover A Charlie Adlard),$5.99
BAD IDEA,Hab #2 (Of 5)(Cover B Sarah Sumeray Lost Texts Variant),$5.99
BAD IDEA,Hab #2 (Of 5)(Cover C David Lapham),$5.99
BAD IDEA,Hab #2 (Of 5)(Cover D FLOPS NSFW Variant),AR
BAD IDEA,Hab #2 (Of 5)(Cover E John Pearson),AR
BALLANTINE BOOKS,Martian A Novel Deluxe Edition HC,$38.00
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover A Esad Ribic),$9.99
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover B Ronald Wimberly),$9.99
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover C Esad Ribic Foil Full Art Variant),$11.99
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover D Ronald Wimberly Foil Full Art Variant),$11.99
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover E Dillon Snook Full Art Variant),AR
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover F Sedat Oezgen Reveal Full Art Variant),AR
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover G Sweeney Boo Full Art Variant),AR
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover H David Lafuente Foil Full Art Variant),AR
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover I Sedat Oezgen Reveal Variant),$9.99
BOOM! STUDIOS,BRZRKR Light Draws Breath #1 (One Shot)(Cover J Esad Ribic Full Art Variant),$9.99
BOOM! STUDIOS,Life And Death Of Lucas Dreamwalker #1 (Cover A Francesco Francavilla,$5.99
BOOM! STUDIOS,Life And Death Of Lucas Dreamwalker #1 (Cover B Rebeca Puebla,$5.99
BOOM! STUDIOS,Life And Death Of Lucas Dreamwalker #1 (Cover C Rebeca Puebla Full Art Variant,AR
BOOM! STUDIOS,Life And Death Of Lucas Dreamwalker #1 (Cover D Nimit Malavia Full Art Variant,AR
BOOM! STUDIOS,Life And Death Of Lucas Dreamwalker #1 (Cover E Francesco Francavilla Full Art Variant,$5.99
BOOM! STUDIOS,Minor Arcana Volume 3 The Moon TP,$17.99
BOOM! STUDIOS,VR Troopers TP,$19.99
CLOVER PRESS,Dick Tracy Collection 1943 TP,$29.99
CSN PRESS,Comic Shop News #2023,AR
DARK HORSE BOOKS,Last Voyage Of Sindbad HC,$34.99
DARK HORSE BOOKS,Star Wars The High Republic Adventures The Complete Phase III Part 1 TP,$29.99
DARK HORSE BOOKS,Stranger Things And Dungeons And Dragons Library Edition HC,$49.99
DARK HORSE COMICS,Dark Horse Monthly Catalog June 2026,AR
DARK HORSE COMICS,Did You Hear About Mimi Green #1 (Of 4)(Cover A Josh Cornillon),$4.99
DARK HORSE COMICS,Did You Hear About Mimi Green #1 (Of 4)(Cover B Rosemary Valero-O'Connell),$4.99
DARK HORSE COMICS,Did You Hear About Mimi Green #1 (Of 4)(Cover C Nick Robles),$4.99
